paperID,title,journal,journalH5,citations,pubYear,authors,authorsShort,doi,database,studyID,effectID,country,published,items,directionEffect,researchDesign,strategy,personalityTraits,populationType,populationDescription,instrument,comparisonGroupType,measure,affect ,stressComponentType,affectiveConsequencesStress,focalVariable,typeOfExposure,typeOfSocialSupport,supportSource,effectType,nMale	,nFemale,percFemale,meanAge,F,logRegB,B,beta,t,r,r_s,chiSq     ,waldChiSq,df1,df2,pReported,sd1,sd2,se1,se2,nTotal,n1,n2,mean1,mean2,robDomain1,robDomain2,robDomain3,robDomain4,robDomain5,robOverall
9,,,,,,,"Juvonen et al., 2021",,,1,2,USA,1,9,-1,4,2,0,2,"Participants in the current study were between the ages of 18 and 70, living in the U.S.The final sample included 295 participants, the majority of whom were women (83%).",Patient Health Questionnaire-9 (PHQ-9),0,depression,,,1,1,,4,2,1,,,83,36.73,,,-0.17,,,,,,,,,<.01,,,,,295,,,,,3,3,1,1,2,3
10,Cardiac vagal control in response to acute stress during pregnancy: Associations with life stress and emotional support,Psychophysiology,50,3,2021,"Tung, I.; Krafty, R.T.; Delcourt, M.L.; Melhem, N.M.; Jennings, J.R.; Keenan, K.; Hipwell, A.E.","Tung et al., 2021",10.1111/psyp.13808,,1,1,USA,1,28,-1,4,2,0,2,"Participants in this study were drawn from a community-basedsample of pregnant women",Difficult Life Circumstances Scale (DLCS),0,stress,,2,,1,,0,0,1,,191,100,,,,,,,-0.20,,,,,,<.01,,,,,191,,,,,3,2,1,1,2,3
11,Social support and parenting stress in at-risk Portuguese families,Journal of Social Work,22,34,2017,"Ayala-Nunes, L.; Nunes, C.; Lemos, I.","Ayala-Nunes et al., 2017",10.1177/1468017316640200,,1,1,Portugal,1,36,-1,4,2,0,2,"The sample was composed of 167 parents (79.6% women and 20.4% men) who hadchildren being followed by Child Protective Services (CPS).",Parenting Stress Index-Short Form ,0,parental distress,,2,,1,,3,0,1,34,133,79.6,38.02,,,,,,-0.236,,,,,,<.01,,,,,167,,,,,3,3,1,1,2,3
12,Predictors of Stress and coping strategies of US Accelerated vs. Generic baccalaureate nursing students: An embedded mixed methods study,Nurse Education Today,68,200,2015,"Wolf, L.; Stidham, A.W.; Ross, R.","Wolf, et al., 2015",10.1016/j.nedt.2014.07.005,,1,1,"Japan, Tailand, Taiwan, USA",1,,-1,4,2,0,1,"Participants were a convenience sampleof 210 junior and senior generic and accelerated undergraduatenursing students in two nursing programs in the Midwest",Perceived Stress Questionnaire (PSQ),0,stress,,2,,1,,0,0,1,,,,,,,,-0.179,,,,,,,,.006,,,,,210,,,,,3,3,1,1,2,3
13,Coping strategies and mental health outcomes of conflict-affected persons in the Republic of Georgia,Epidemiology and Psychiatric Sciences,44,53,2017,"Saxon, L.; Makhashvili, N.; Chikovani, I.; Seguin, M.; McKee, M.; Patel, V.; Bisson, J.; Roberts, B.","Saxon et al., 2017",10.1017/S2045796016000019,,1,1,Republic of Georgia,1,7,1,4,2,0,3,"3600 adults, representing internally displaced persons (IDPs)from conflicts in the 1990s (n = 1200) and 2008 (n = 1200) and former IDPs who returned to their homes after the 2008conflict (n = 1200).",General Anxiety Disorder-7 Measure (GADT-7),0,anxiety,,2,,1,,0,0,1,,2352,100,,,0.63,,,,,,,,,,<.01,,,,,2352,,,,,3,3,3,1,2,3
14,"Social support, life events, and psychological distress among the Puerto Rican population in the Boston area of the United States",Aging and Mental Health,52,105,2009,"Falcon, L.M.; Todorova, I.; Tucker, K.","Falcon et al., 2009",10.1080/13607860903046552,,1,1,USA,1,20,-1,4,2,0,2,1020 boston puerto rican health study participants,Center for Epidemiological Studies Depression Scale (CES-D),0,depression,,,1,1,,0,0,1,286,734,72,57.76,,,,-0.11,,,,,,,,<.001,,,,,1020,,,,,3,3,3,1,2,3
15,The influence of gender and year of study on stress levels and coping strategies among Polish dental,Medicina (Lithuania),39,12,2020,"Mocny-Pachońska, K.; Trzcionka, A.; Doniec, R.J.; Sieciński, S.; Tanasiewicz, M.","Mocny-Pachońska et al., 2020",10.3390/medicina56100531,,1,1,Poland,1,10,-1,4,2,0,1,446 dental students,Perceived Stress Scale (PSS-10),0,stress,,2,,1,,0,0,1,126,320,,,,,,,,-0.053,,,,,,0.261,,,,,446,,,,,3,3,1,1,1,3
16,Does emotional support during the luteal phase decrease the stress of in vitro fertilization?,Fertility and Sterility,90,23,2011,"Skiadas, C.C.; Terry, K.; De Pari, M.; Geoghegan, A.; Lubetsky, L.; Levy, S.; Haimovici, F.; Ashby, R.","Skiadas et al., 2011",10.1016/j.fertnstert.2011.09.028,,1,1,USA,1,14,1,1,2,0,3,121 in vitro fertilization patients,Perceived Stress Scale (PSS-14),1,stress,,2,,1,,2,1,1,,,,,,,,,,,,,,,,,9.2,8.4,,,131,65,66,22.5,24.6,1,2,1,1,2,2
17,Examining Interpersonal Differences among Caregivers in Health Outcomes Using a Stress Process Model: The Influence of Adverse Social Experiences and Social Support,ProQuest Dissertations and Theses,,0,2021,"Browning, Wesley R.","Browning, & Wesley 2021",,,1,1,USA,0,36,-1,4,2,0,2,participants of this study are american caregivers,Experiences of Discrimimation (EOD),0,stress,,2,,1,,0,0,1,,,,,,,,,,-0.07,,,,,,,,,,,56,,,,,3,3,1,1,2,3
17,,,,,,,"Browning, & Wesley 2021",,,1,2,USA,0,20,-1,4,2,0,2,participants of this study are american caregivers,Center for Epidemiological Studies (CESD),0,depression,,,1,1,,0,0,1,,,,,,,,,,-0.40,,,,,,<.01,,,,,56,,,,,3,3,1,1,2,3
18,The role of social support on the effects of stress and depression on African American tobacco and alcohol use,Drug and Alcohol Dependence,73,14,2020,"Boateng-Poku, A.; Benca-Bachman, C.E.; Najera, D.D.; Whitfield, K.E.; Taylor, J.L.; Thorpe, R.J., Jr.; Palmer, R.H.C.","Boateng-Poku et al., 2020",10.1016/j.drugalcdep.2020.107926,,1,1,USA,1,11,-1,4,2,0,2,Participants were selected from regions in North Carolina identified to have the highest ethnic distribution; birth records were examined for African American twin births,"Center forEpidemiological Studies Depression (CES-D scale)",0,Depression,,,1,1,,0,0,1,,,51,50,,,,-0.22,,,,,,,,<.001,,,0.05,,703,,,,,3,3,1,1,2,3
18,,,73,,,,"Boateng-Poku et al., 2020",,,1,2,USA,1,14,-1,4,2,0,2,Participants were selected from regions in North Carolina identified to have the highest ethnic distribution; birth records were examined for African American twin births,"Perceived Stress Scale(PSS)",0,stress,,,2,1,,0,0,1,,,51,50,,,,-0.28,,,,,,,,<.001,,,0.04,,703,,,,,3,3,1,1,2,3
19,The role of family support and perceived stress reactivity in predicting depression in college freshman,Journal of Social and Clinical Psychology,20,0,2016,"Levens, S.M.; Elrahal, F.; Sagui, S.J.","Levens et al., 2016",10.1521/jscp.2016.35.4.342,,1,1,USA,1,10,-1,4,2,0,1,181 undergraduate participants,"Center for Epidemiological Studies Depression Scale (CESD",0,Depression,,,1,1,,0,0,1,36,145,,18.30,,,,,,-0.24,,,,,,<.01,,,,,181,,,,,3,3,1,1,2,3
20,The relationship between social support and well-being of parents of children with special needs,ProQuest Dissertations and Theses,,0,2016,"Katsiotas, Nikki Joan","Katsiotas, 2016",,,1,1,USA,0,10,-1,4,2,0,1,181 undergraduate participants,PANAS,0,positive affect,1,,,1,,0,0,1,,,,40.74,,,,,,-0.39,,,,,,<.001,,,,,202,,,,,3,3,1,1,2,3
20,,,,,2016,,"Katsiotas, 2016",,,1,2,USA,0,10,-1,4,2,0,1,181 undergraduate participants,PANAS,0,negative affect,2,,,1,,0,0,1,,,,40.74,,,,,,-0.31,,,,,,<.001,,,,,202,,,,,3,3,1,1,2,3
20,,,,,2016,,"Katsiotas, 2016",,,1,3,USA,0,4,-1,4,2,0,1,181 undergraduate participants,Short Form Perceived Stress Scale (PSS-4),0,stress,,2,,1,,0,0,1,,,,40.74,,,,,,-0.36,,,,,,<.001,,,,,202,,,,,3,3,1,1,2,3
21,"Influence of a ""warm touch"" support enhancement intervention among married couples on ambulatory blood pressure, oxytocin, alpha amylase, and cortisol",Psychosomatic Medicine,46,472,2008,"Holt-Lunstad, J.; Birmingham, W.A.; Light, K.C.","Holt-Lunstad, 2008",10.1097/PSY.0b013e318187aef7,,1,1,USA,1,,-1,1,2,0,2,34 healthy married couples,,1,alpha amylase,,6,,1,,1,2,1,34,34,50,25.2,,,-0.20,,,,,,,,,.01,,,,,,28,40,,,1,1,1,1,2,2
22,"Is it better to perceive than receive? Social support, stress and strain for managers","Psychology, Health & Medicine",43,125,2000,"Lindorff, Margaret","Lindorff, 2000",10.1080/713690199,,1,1,Australia,1,,-1,4,2,0,2,"Data was gathered from 108 female and 342 male managers.",,0,stress,,2,,1,,0,0,1,108,342,,,,,,,,-0.01,,,,,,,,,,,450,,,,,3,3,1,1,2,3
23,Emotional awareness and support in relation to the adjustment and health of cardiac patients,Dissertation Abstracts International: Section B: The Sciences and Engineering,,0,1997,"Fuller, Meredith Ann","Fuller, 1997",,,1,1,USA,0,,-1,4,2,0,3,"Participants were recruited from two cardiac rehabilitation sites, Massachusetts
General Hospital (MGH) and Falmouth Hospital (FH).",Kellner Symptom Questionnaire,0,anxiety,,2,,1,,1,0,1,56,27,33,,,,,,,-0.28,,,,,,<.01,,,,,83,,,,,3,3,1,1,2,3
23,,,,,,,"Fuller, 1997",,,1,2,USA,0,,-1,4,2,0,3,"Participants were recruited from two cardiac rehabilitation sites, Massachusetts
General Hospital (MGH) and Falmouth Hospital (FH).",Kellner Symptom Questionnaire,0,depression,,,1,1,,1,0,1,56,27,33,,,,,,,-0.32,,,,,,<.01,,,,,83,,,,,3,3,1,1,2,3
24,Social support and health of older Korean immigrant women,Dissertation Abstracts International: Section B: The Sciences and Engineering,,1,1997,"Park, Kee Joung Yoo","Park, 1997",,,1,1,USA,0,10,-1,4,2,1,2,"219 older Korean immigrant women whose mean age was 75 years during the summerof 1995 in Chicago.",Symptom Checklist-90 Revised (SCL-90R),0,anxiety,,2,,1,,0,0,1,0,219,100,75,,,-0.328,,,,,,,,,,,,,,219,,,,,3,3,1,1,1,3
24,,,,,,,"Park, 1997",,,1,2,USA,0,20,-1,4,2,1,2,"219 older Korean immigrant women whose mean age was 75 years during the summerof 1995 in Chicago.",Center for Epidemiologic Studies Depression (CES-D) Scale,0,depression,,,1,1,,0,0,1,0,219,100,75,,,-2.207,,,,,,,,,<.001,,,,,219,,,,,3,3,1,1,1,3
25,THE QUALITY OF SOCIAL SUPPORT AMONG AFRICAN-AMERICAN WOMEN AND ITS EFFECT AS A MEDIATOR OF THE RELATIONSHIP BETWEEN STRESS AND DEPRESSION,ProQuest Dissertations and Theses,,1,1984,"WATTS JONES, DARIELLE L.","Watts Jones, 1984",,,1,1,USA,0,20,-1,4,2,0,2,68 African-American women were interviewed,Center for Epidemiologic Studies Depression (CES-D) Scale,0,depression,,,1,1,,0,0,1,0,68,100,31.1,,,-1.65,,,,,,,,,,,,,,68,,,,,3,3,1,1,2,3
