paperID,title,journal,journalH5,citations,publicationYear,Author,doi,Archive,studyID,effectID,country,published,items,predictedDirection,researchDesign,strategy,personalityTraits,populationType,populationDescription,instrument,comparisonGroupType,measure,affect ,stressComponentType,affectiveConsequencesStress,focalVariable,TypeOfExposure,TypeOfSocialSupport,Source,effectType,nMale	,nFemale,percFemale,meanAge,F,logRegB,B,beta,t,r,chiSq     ,waldChiSq,df1,df2,pReported,sd1,sd2,se1,se2,overall n,n1,n2,mean1,mean2,robDomain1,robDomain2,robDomain3,robDomain4,robDomain5,robOverall,include,reason for exclusion
3,,,,"Cited By :2
 Export Date: 12 April 2022 | RAYYAN-INCLUSION: {""Alessandro""=>""Included""}",2021,"Li, H.; Zhang, X.; Bi, S.; Cao, Y.; Zhang, G.",10.3390/healthcare9070918,Scopus,,3,Malaysia,1,7,,3,1,,2,,,2,depression,,,1,,3,N/A,N/A,,24,56,70,33.68,,,,,,,,,,,<0.001,8.62,8.06,,,80,80,80,20.28,7.55,,,,,,3,,
3,,,,"Export Date: 12 April 2022 | RAYYAN-INCLUSION: {""Alessandro""=>""Included""}",2021,"Chiang, Y.-C.; Weng, P.-Y.",10.21273/HORTSCI16101-21,Scopus,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Walking for well-being: Are group walks in certain types of natural environments better for well-being than group walks in urban environments?,International Journal of Environmental Research and Public Health,,"Cited By :24
 Export Date: 12 April 2022 | RAYYAN-INCLUSION: {""Alessandro""=>""Included""}",2019,"Marselle, M.R.; Warber, S.L.; Irvine, K.N.",10.3390/ijerph16060986,Scopus,,1,England,1,10,,2,1,,2,,,2,depression,,,1,,1,N/A,N/A,,,,62,,,,,,,,,,,,,7.37,5.26,,,708,44,216,216,216,,,,,,2,1,
4,,,,"Cited By :2320
 Export Date: 12 April 2022 | RAYYAN-INCLUSION: {""Alessandro""=>""Included""}",1991,"Ulrich, R.S.; Simons, R.F.; Losito, B.D.; Fiorito, E.; Miles, M.A.; Zelson, M.",10.1016/S0272-4944(05)80184-7,Scopus,,2,England,1,10,,2,1,,2,,,2,perceived stress,,2,,,1,N/A,N/A,,,,62,,,,,,,,,,,,,5.91,6.12,,,708,44,216,216,216,,,,,,2,,
4,,,,"Cited By :87
 Export Date: 12 April 2022 | RAYYAN-INCLUSION: {""Alessandro""=>""Included""}",2016,"Wang, X.; Rodiek, S.; Wu, C.; Chen, Y.; Li, Y.",10.1016/j.ufug.2015.12.003,Scopus,,3,England,1,10,,2,1,,2,,,2,positive affect,1,,,,1,N/A,N/A,,,,62,,,,,,,,,,,,,7.37,7.45,,,708,44,216,7.37,7.45,,,,,,2,,
4,,,,"Cited By :16
 Export Date: 12 April 2022 | RAYYAN-INCLUSION: {""Alessandro""=>""Included""}",2020,"Zeng, C.; Lyu, B.; Deng, S.; Yu, Y.; Li, N.; Lin, W.; Li, D.; Chen, Q.",10.3390/ijerph17093238,Scopus,,4,England,1,10,,2,1,,2,,,2,negative affect,2,,,,1,N/A,N/A,,,,62,,,,,,,,,,,,,5.75,4.33,,,708,44,216,5.75,4.33,,,,,,2,,
4,,,,"Cited By :218
 Export Date: 12 April 2022 | RAYYAN-INCLUSION: {""Alessandro""=>""Included""}",2016,"Li, D.; Sullivan, W.C.",10.1016/j.landurbplan.2015.12.015,Scopus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,"Restorative effects of viewing real forest landscapes, based on a comparison with urban landscapes",Scandinavian Journal of Forest Research,,"Cited By :12
 Export Date: 12 April 2022 | RAYYAN-INCLUSION: {""Alessandro""=>""Included""}",2018,"Reynolds, L.; Rodiek, S.; Lininger, M.; McCulley, M.A.",10.1080/02763893.2018.1431583,Scopus,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
5,,,,"Cited By :2
 Export Date: 12 April 2022 | RAYYAN-INCLUSION: {""Alessandro""=>""Included""}",2021,"Meuwese, D.; Dijkstra, K.; Maas, J.; Koole, S.L.",10.1016/j.jenvp.2021.101594,Scopus,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,,,"Cited By :63
 Export Date: 12 April 2022 | RAYYAN-INCLUSION: {""Alessandro""=>""Included""}",2017,"Chun, M.H.; Chang, M.C.; Lee, S.-J.",10.3109/00207454.2016.1170015,Scopus,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Where to put your best foot forward: Psycho-physiological responses to walking in natural and urban environments,Journal of Environmental Psychology,,"Cited By :164
 Export Date: 12 April 2022 | RAYYAN-INCLUSION: {""Alessandro""=>""Included""}",2007,"Tsunetsugu, Y.; Park, B.-J.; Ishii, H.; Hirano, H.; Kagawa, T.; Miyazaki, Y.",10.2114/jpa2.26.135,Scopus,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
6,,,,"Cited By :2
 Export Date: 12 April 2022 | RAYYAN-INCLUSION: {""Alessandro""=>""Included""}",2021,"Nadkarni, N.M.; Thys, T.M.; Ruff, J.S.; Anholt, A.; Trevinõ, J.; Yeo, S.K.",10.1089/eco.2020.0043,Scopus,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,,,"Cited By :17
 Export Date: 12 April 2022 | RAYYAN-INCLUSION: {""Alessandro""=>""Included""}",2020,"Lin, W.; Chen, Q.; Jiang, M.; Tao, J.; Liu, Z.; Zhang, X.; Wu, L.; Xu, S.; Kang, Y.; Zeng, Q.",10.1007/s11524-019-00407-8,Scopus,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,The effects of viewing a winter forest landscape with the ground and trees covered in snow on the psychological relaxation of young Finnish adults: A pilot study,PLoS ONE,,"Cited By :12
 Export Date: 12 April 2022 | RAYYAN-INCLUSION: {""Alessandro""=>""Included""}",2019,"Saito, H.; Horiuchi, M.; Takayama, N.; Fujiwara, A.",10.1080/13416979.2019.1586300,Scopus,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
7,,,,"Cited By :32
 Export Date: 12 April 2022 | RAYYAN-INCLUSION: {""Alessandro""=>""Included""}",2002,"Kohlleppel, T.; Bradley, J.C.; Jacob, S.",10.21273/horttech.12.3.489,Scopus,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,,,"Export Date: 12 April 2022 | RAYYAN-INCLUSION: {""Alessandro""=>""Included""}",2017,"Ling, A.L.H.; Sue-Wei, V.L.; See, S.L.",,Scopus,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,,,"Cited By :17
 Export Date: 12 April 2022 | RAYYAN-INCLUSION: {""Alessandro""=>""Included""}",2020,"Elsadek, M.; Liu, B.; Xie, J.",10.1016/j.ufug.2020.126846,Scopus,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,A randomized crossover trial on acute stress-related physiological responses to mountain hiking,International Journal of Environmental Research and Public Health,,"Cited By :34
 Export Date: 12 April 2022 | RAYYAN-INCLUSION: {""Alessandro""=>""Included""}",2019,"Elsadek, M.; Liu, B.; Lian, Z.; Xie, J.",10.1016/j.ufug.2019.05.007,Scopus,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
8,,,,"Cited By :9
 Export Date: 12 April 2022 | RAYYAN-INCLUSION: {""Alessandro""=>""Included""}",2020,"Roe, J.; Mondschein, A.; Neale, C.; Barnes, L.; Boukhechba, M.; Lopez, S.",10.3389/fpubh.2020.575946,Scopus,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,,,"Cited By :176
 Export Date: 12 April 2022 | RAYYAN-INCLUSION: {""Alessandro""=>""Included""}",2014,"Van den Berg, A.E.; Jorgensen, A.; Wilson, E.R.",10.1016/j.landurbplan.2014.04.012,Scopus,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,,,"Cited By :20
 Export Date: 12 April 2022 | RAYYAN-INCLUSION: {""Alessandro""=>""Included""}",2019,"Palanica, A.; Lyons, A.; Cooper, M.; Lee, A.; Fossat, Y.",10.1016/j.jenvp.2019.04.006,Scopus,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Growing resilience through interaction with nature: Can group walks in nature buffer the effects of stressful life events on mental health?,International Journal of Environmental Research and Public Health,,"RAYYAN-INCLUSION: {""Alessandro""=>""Included""}",2020,"Yin, Jie; Yuan, Jing; Arfaei, Nastaran; Catalano, Paul J.; Allen, Joseph G.; Spengler, John D.",10.1016/j.envint.2019.105427,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
9,,,,"RAYYAN-INCLUSION: {""Alessandro""=>""Included""}",2020,"Riva, Giuseppe; Bernardelli, Luca; Browning, Matthew H. E. M.; Castelnuovo, Gianluca; Cavedoni, Silvia; Chirico, Alice; Cipresso, Pietro; de Paula, Dirce Maria Bengel; Di Lernia, Daniele; Fernández-Álvarez, Javier; Figueras-Puigderrajols, Natàlia; Fuji, Kei; Gaggioli, Andrea; Gutiérrez-Maldonado, Jose; Hong, Upyong; Mancuso, Valentina; Mazzeo, Milena; Molinari, Enrico; Moretti, Luciana F.; Ortiz de Gortari, Angelica B.; Pagnini, Francesco; Pedroli, Elisa; Repetto, Claudia; Sforza, Francesca; Stramba-Badiale, Chiara; Tuena, Cosimo; Malighetti, Clelia; Villani, Daniela; Wiederhold, Brenda K.",10.3389/fpsyt.2020.563319,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,,,,"RAYYAN-INCLUSION: {""Alessandro""=>""Included""}",2016,"Grazuleviciene, Regina; Vencloviene, Jone; Kubilius, Raimondas; Grizas, Vytautas; Danileviciute, Asta; Dedele, Audrius; Andrusaityte, Sandra; Vitkauskiene, Astra; Steponaviciute, Rasa; Nieuwenhuijsen, Mark J.",10.3390/ijerph13060550,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,,,,"RAYYAN-INCLUSION: {""Alessandro""=>""Included""}",2020,"Zabini, Federica; Albanese, Lorenzo; Becheri, Francesco Riccardo; Gavazzi, Gioele; Giganti, Fiorenza; Giovanelli, Fabio; Gronchi, Giorgio; Guazzini, Andrea; Laurino, Marco; Li, Qing; Marzi, Tessa; Mastorci, Francesca; Meneguzzo, Francesco; Righi, Stefania; Viggiano, Maria Pia",10.3390/ijerph17218011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,"Stress recovery and restorative effects of viewing different urban park scenes in Shanghai, China",Urban Forestry and Urban Greening,,"RAYYAN-INCLUSION: {""Alessandro""=>""Included""}",2015,"Saw, Le E.; Lim, Felix K. S.; Carrasco, Luis R.",10.1371/journal.pone.0133781,,1,1,China,1,35,,1 & 3,1,,1,,,2,"State anxiety, stress recovery level, heart rate variability by ""R"" waves (R-R Intervals), stress level by SCR(Skin Conductance Response), ","2,6",2,2,,2,,,,70,70,50,"22,38",,,,,,,,,,,,,,,,,,,,,,,,,,,1,
,Benefits of a three-day bamboo forest therapy session on the physiological responses of university students,International Journal of Environmental Research and Public Health,,"RAYYAN-INCLUSION: {""Alessandro""=>""Included""}",2021,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Impact of views to school landscapes on recovery from stress and mental fatigue,Landscape and Urban Planning,,"RAYYAN-INCLUSION: {""Alessandro""=>""Included""}",2017,"Stigsdotter, Ulrika K.; Corazon, Sus Sola; Sidenius, Ulrik; Kristiansen, Jesper; Grahn, Patrik",10.1016/j.healthplace.2017.05.007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Can a Virtual Nature Experience Reduce Anxiety and Agitation in People With Dementia?,Journal of Housing for the Elderly,,"RAYYAN-INCLUSION: {""Alessandro""=>""Included""}",2013,"Joye, Yannick; Pals, Roos; Steg, Linda; Evans, Ben Lewis",10.1371/journal.pone.0065332,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Beating the blues by viewing Green: Depressive symptoms predict greater restoration from stress and negative affect after viewing a nature video,Journal of Environmental Psychology,,"RAYYAN-INCLUSION: {""Alessandro""=>""Included""}",2021,"Kühn, Simone; Forlim, Caroline Garcia; Lender, Anja; Wirtz, Janina; Gallinat, Jürgen",10.1038/s41598-021-83246-5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,The effects of forest therapy on depression and anxiety in patients with chronic stroke,International Journal of Neuroscience,,"RAYYAN-INCLUSION: {""Alessandro""=>""Included""}",2015,"Horiuchi, Masahiro; Endo, Junko; Akatsuka, Shin; Hasegawa, Tatsuya; Yamamoto, Eriko; Uno, Tadashi; Kikuchi, Sachiko",10.1589/jpts.27.3711,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,The effects of forest therapy on depression and anxiety in patients with chronic stroke,International Journal of Neuroscience,,"RAYYAN-INCLUSION: {""Alessandro""=>""Included""}",2015,"Calogiuri, Giovanna; Evensen, Katinka; Weydahl, Andi; Andersson, Kim; Patil, Grete; Ihlebæk, Camilla; Raanaas, Ruth K.",10.3233/WOR-152219,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Physiological effects of Shinrin-yoku (taking in the atmosphere of the forest) in an old-growth broadleaf forest in Yamagata Prefecture, Japan",Journal of Physiological Anthropology,,"Date revised - 20211104
 Last updated - 2021-11-04
 SubjectsTermNotLitGenreText - Anxiety 3018P1B 3019P1B 3028P1B 598P1B 9271P1B 2990P1A 2991P1A 2999P1A 584P1A 9196P1A; Mental Health 4024P1B 5472P1B 9271P1B 3988P1A 5429P1A 9196P1A; Psychophysiology 1041P1B 6888P1B 7412P1B 8066P1B 9271P1B 1027P1A 6834P1A 7355P1A 8002P1A 9196P1A; Stress 8859P1B 9271P1B 8787P1A 9196P1A; Well Being 4024P1B 9271P1B 9825P1B 3988P1A 9196P1A 9745P1A; 2310P1B 3296P1B 5544P1B 8181P1B 9271P1B 2286P1A 3267P1A 5499P1A 8115P1A 9196P1A; 9008P1B 9271P1B 8934P1A 9196P1A; 3117P1B 5909P1B 9271P1B 3088P1A 5861P1A 9196P1A
 IdentKeywords - Greenspace; Mental health; Nature contact; Psychological well-being; Psychophysiology; Stress | RAYYAN-INCLUSION: {""Alessandro""=>""Included""}",2021,"Perrins, Sara Park",,APA PsycInfo®,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Providing Virtual Nature Experiences to Incarcerated Men Reduces Stress and Increases Interest in the Environment,Ecopsychology,,"Date revised - 20210405
 Last updated - 2021-04-05
 SubjectsTermNotLitGenreText - Cognitive Processes 1750P1B 9271P1B 1731P1A 9196P1A; Facilities 3369P1B 9271P1B 3340P1A 9196P1A; Responses 7807P1B 9271P1B 944P1B 7744P1A 9196P1A 930P1A; Virtual Reality 1899P1B 1918P1B 2534P1B 4548P1B 8403P1B 9107P1B 9271P1B 9693P1B 1877P1A 1896P1A 2510P1A 4507P1A 8333P1A 9033P1A 9196P1A 9613P1A; Visual Tracking 6669P1B 6686P1B 9271P1B 9376P1B 9730P1B 6617P1A 6634P1A 9196P1A 9300P1A 9650P1A; 8859P1B 9271P1B 8787P1A 9196P1A; 4024P1B 9271P1B 9825P1B 3988P1A 9196P1A 9745P1A
 IdentKeywords - Biophilic design; Indoor environment; Workspace; Virtual reality; Eye-tracking; Biomonitoring sensors; Physiological responses; Cognitive function | RAYYAN-INCLUSION: {""Alessandro""=>""Included""}",2019,"Yin, Jie",,APA PsycInfo®,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Sitting or Walking? Analyzing the Neural Emotional Indicators of Urban Green Space Behavior with Mobile EEG,Journal of Urban Health,,"Copyright - © 2019, Taylor & Francis Group, LLC
 Date revised - 20190307
 Number of references - 51
 Last updated - 2020-08-24
 SubjectsTermNotLitGenreText - Crowding 2230P1B 7002P1B 9271P1B 2206P1A 6948P1A 9196P1A; Emotional Responses 3013P1B 7807P1B 9271P1B 944P1B 2985P1A 7744P1A 9196P1A 930P1A; Personal Space 6730P1B 8493P1B 8539P1B 9271P1B 944P1B 6678P1A 8422P1A 8468P1A 9196P1A 930P1A; Psychophysiology 1041P1B 6888P1B 7412P1B 8066P1B 9271P1B 1027P1A 6834P1A 7355P1A 8002P1A 9196P1A; Urban Environments 3117P1B 8524P1B 9271P1B 9569P1B 3088P1A 8453P1A 9196P1A 9492P1A; 6638P1B 7638P1B 9271P1B 9451P1B 6587P1A 7578P1A 9196P1A 9374P1A; 5760P1B 5761P1B 6693P1B 9271P1B 944P1B 9785P1B 5712P1A 5713P1A 6641P1A 9196P1A 930P1A 9705P1A; 2534P1B 2952P1B 4046P1B 4548P1B 5679P1B 9107P1B 9271P1B 9453P1B 9801P1B 2510P1A 2924P1A 4009P1A 4507P1A 5632P1A 9033P1A 9196P1A 9376P1A 9721P1A | RAYYAN-INCLUSION: {""Alessandro""=>""Included""}",2019,"Engelniederhammer, A.; Papastefanou, G.; Xiang, L.",10.1080/10911359.2019.1579149,Scopus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Effects of managed forest versus unmanaged forest on physiological restoration from a stress stimulus, and the relationship with individual traits",Journal of Forest Research,,"Date revised - 20181108
 Last updated - 2018-11-08
 SubjectsTermNotLitGenreText - Health Care Psychology 4042P1B 7393P1B 8066P1B 8567P1B 9271P1B 970P1B 4006P1A 7337P1A 8002P1A 8496P1A 9196P1A 956P1A; Mental Health 4024P1B 5472P1B 9271P1B 3988P1A 5429P1A 9196P1A; Stress 8859P1B 9271P1B 8787P1A 9196P1A; 1041P1B 2599P1B 2601P1B 6591P1B 6888P1B 7637P1B 8066P1B 9271P1B 1027P1A 2574P1A 2576P1A 6540P1A 6834P1A 7577P1A 8002P1A 9196P1A
 IdentKeywords - recovery; stress; mental health; health care psychology | RAYYAN-INCLUSION: {""Alessandro""=>""Included""}",2016,"Rawal, Sonika Omprakash",,APA PsycInfo®,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,A walk through the garden: Can a visit to a botanic garden reduce stress?,HortTechnology,,"Copyright - Database copyright ProQuest LLC; ProQuest does not claim copyright in the individual underlying works.
 Last updated - 2021-05-25 | RAYYAN-INCLUSION: {""Alessandro""=>""Included""}",2012,"Goodwin, Denise May",,ProQuest Dissertations & Theses Global,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Affective response to photographs of natural landscapes based on OCEAN model,,,"Date revised - 20030915
 Number of references - 54
 Last updated - 2017-09-25
 SubjectsTermNotLitGenreText - Coping Behavior 2077P1B 9271P1B 944P1B 2053P1A 9196P1A 930P1A; Leisure Time 2300P1B 5051P1B 7638P1B 9271P1B 944P1B 2276P1A 5009P1A 7578P1A 9196P1A 930P1A; Models 5687P1B 9235P1B 9271P1B 5640P1A 9160P1A 9196P1A; Recreation 7638P1B 9271P1B 7578P1A 9196P1A; Stress 8859P1B 9271P1B 8787P1A 9196P1A; 147P1B 9271P1B 146P1A 9196P1A; 3117P1B 9271P1B 3088P1A 9196P1A; 7638P1B 7639P1B 9271P1B 7578P1A 7579P1A 9196P1A; 9235P1B 9271P1B 9160P1A 9196P1A | RAYYAN-INCLUSION: {""Alessandro""=>""Included""}",2003,"Miller, T.A.; McCool, S.F.",10.1080/01490400306562,Scopus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
